Sistema Termodinámico Controlado
Comandos:
1/0 - Encender/Apagar foco
2/3 - Encender/Apagar ventilador
SXX.X - Establecer setpoint (ej: S25.5)
C - Activar/Desactivar control automático
HX.X - Ajustar histéresis (ej: H1.0)
Tiempo(s),Humedad(%),TempAHT(°C),TempLM35(°C),Setpoint(°C),Foco,Ventilador,Control
157.558,69.48,35.713,32.258,55.0,1,0,1
157.958,69.41,35.749,32.258,55.0,1,0,1
158.358,69.40,35.777,32.747,55.0,1,0,1
158.758,69.29,35.828,32.747,55.0,1,0,1
159.158,69.27,35.846,32.258,55.0,1,0,1
159.558,69.18,35.878,32.747,55.0,1,0,1
159.958,69.08,35.930,32.747,55.0,1,0,1
160.358,69.08,35.952,32.747,55.0,1,0,1
160.758,68.98,35.995,32.747,55.0,1,0,1
161.158,68.91,36.017,32.747,55.0,1,0,1
161.558,68.85,36.062,32.747,55.0,1,0,1
161.958,68.76,36.088,32.747,55.0,1,0,1
162.358,68.74,36.123,33.236,55.0,1,0,1
162.758,68.71,36.142,32.747,55.0,1,0,1
163.158,68.65,36.178,32.747,55.0,1,0,1
163.558,68.57,36.224,32.747,55.0,1,0,1
163.958,68.53,36.252,32.747,55.0,1,0,1
164.358,68.51,36.274,32.747,55.0,1,0,1
164.758,68.42,36.306,32.747,55.0,1,0,1
165.158,68.39,36.334,33.236,55.0,1,0,1
165.558,68.33,36.368,33.236,55.0,1,0,1
165.958,68.33,36.414,33.724,55.0,1,0,1
166.358,68.27,36.441,32.747,55.0,1,0,1
166.758,68.22,36.472,33.236,55.0,1,0,1
167.158,68.16,36.518,33.236,55.0,1,0,1
167.558,68.11,36.557,33.236,55.0,1,0,1
167.958,68.04,36.588,33.236,55.0,1,0,1
168.358,68.04,36.625,33.236,55.0,1,0,1
168.758,67.99,36.662,33.236,55.0,1,0,1
169.158,67.93,36.688,33.236,55.0,1,0,1
169.558,67.88,36.708,33.236,55.0,1,0,1
169.958,67.84,36.748,33.236,55.0,1,0,1
170.358,67.79,36.792,33.236,55.0,1,0,1
